Juz,Surah,Aayah,pageNum,lineNum,text,Tag,Quarter
1,2,33,6,7,بِاَسۡمَآئِہِمۡ ۚ         فَلَمَّاۤ         اَنۡۢبَاَہُمۡ         بِاَسۡمَآئِہِمۡ ۙ         قَالَ        اَلَمۡ        اَقُلۡ        لَّکُمۡ        اِنِّیۡۤ        اَعۡلَمُ,0,<null>
1,2,33,6,8,غَیۡبَ     السَّمٰوٰتِ     وَ     الۡاَرۡضِ ۙ     وَ     اَعۡلَمُ     مَا    تُبۡدُوۡنَ    وَ    مَا    کُنۡتُمۡ    تَکۡتُمُوۡنَ    ﴿۳۳﴾,0,<null>
1,2,34,6,9,وَ         اِذۡ         قُلۡنَا         لِلۡمَلٰٓئِکَۃِ         اسۡجُدُوۡا        لِاٰدَمَ        فَسَجَدُوۡۤا        اِلَّاۤ        اِبۡلِیۡسَ ؕ        اَبٰی        وَ,0,<null>
1,2,34,6,10,اسۡتَکۡبَرَ ٭۫         وَ         کَانَ         مِنَ         الۡکٰفِرِیۡنَ         ﴿۳۴﴾,0,<null>
1,2,35,6,10,         وَ         قُلۡنَا         یٰۤاٰدَمُ         اسۡکُنۡ        اَنۡتَ,0,<null>
1,2,35,6,11,وَ          زَوۡجُکَ          الۡجَنَّۃَ          وَ          کُلَا         مِنۡہَا         رَغَدًا         حَیۡثُ        شِئۡتُمَا ۪        وَ        لَا        تَقۡرَبَا,0,<null>
1,2,35,6,12,ہٰذِہِ              الشَّجَرَۃَ              فَتَکُوۡنَا              مِنَ              الظّٰلِمِیۡنَ              ﴿۳۵﴾,0,<null>
1,2,36,6,12,            فَاَزَلَّہُمَا            الشَّیۡطٰنُ,0,<null>
1,2,36,6,13,عَنۡہَا              فَاَخۡرَجَہُمَا              مِمَّا              کَانَا              فِیۡہِ ۪              وَ             قُلۡنَا             اہۡبِطُوۡا            بَعۡضُکُمۡ,0,<null>
1,2,36,6,14,لِبَعۡضٍ      عَدُوٌّ ۚ      وَ      لَکُمۡ      فِی     الۡاَرۡضِ     مُسۡتَقَرٌّ     وَّ     مَتَاعٌ    اِلٰی    حِیۡنٍ    ﴿۳۶﴾,0,<null>
1,2,37,6,14,    فَتَلَقّٰۤی,0,<null>
1,2,37,6,15,اٰدَمُ        مِنۡ        رَّبِّہٖ        کَلِمٰتٍ        فَتَابَ        عَلَیۡہِ ؕ        اِنَّہٗ        ہُوَ        التَّوَّابُ        الرَّحِیۡمُ        ﴿۳۷﴾,0,<null>
1,2,38,7,1,قُلۡنَا         اہۡبِطُوۡا         مِنۡہَا         جَمِیۡعًا ۚ         فَاِمَّا         یَاۡتِیَنَّکُمۡ       مِّنِّیۡ       ہُدًی       فَمَنۡ       تَبِعَ,0,<null>
1,2,38,7,2,ہُدَایَ        فَلَا        خَوۡفٌ       عَلَیۡہِمۡ       وَ       لَا       ہُمۡ       یَحۡزَنُوۡنَ       ﴿۳۸﴾,0,<null>
1,2,39,7,2,      وَ      الَّذِیۡنَ      کَفَرُوۡا      وَ,0,<null>
1,2,39,7,3,کَذَّبُوۡا           بِاٰیٰتِنَاۤ           اُولٰٓئِکَ           اَصۡحٰبُ           النَّارِ ۚ           ہُمۡ           فِیۡہَا           خٰلِدُوۡنَ           ٪﴿۳۹﴾,0,<null>
1,2,40,7,4,یٰبَنِیۡۤ            اِسۡرَآءِیۡلَ            اذۡکُرُوۡا            نِعۡمَتِیَ            الَّتِیۡۤ            اَنۡعَمۡتُ            عَلَیۡکُمۡ            وَ           اَوۡفُوۡا,0,<null>
1,2,40,7,5,بِعَہۡدِیۡۤ           اُوۡفِ           بِعَہۡدِکُمۡ ۚ           وَ           اِیَّایَ           فَارۡہَبُوۡنِ          ﴿۴۰﴾,0,<null>
1,2,41,7,5,          وَ          اٰمِنُوۡا         بِمَاۤ,0,<null>
1,2,41,7,6,اَنۡزَلۡتُ        مُصَدِّقًا        لِّمَا        مَعَکُمۡ        وَ       لَا       تَکُوۡنُوۡۤا       اَوَّلَ       کَافِرٍۭ      بِہٖ ۪      وَ      لَا      تَشۡتَرُوۡا,0,<null>
1,2,41,7,7,بِاٰیٰتِیۡ     ثَمَنًا     قَلِیۡلًا ۫     وَّ     اِیَّایَ     فَاتَّقُوۡنِ     ﴿۴۱﴾,0,<null>
1,2,42,7,7,     وَ     لَا     تَلۡبِسُوا     الۡحَقَّ     بِالۡبَاطِلِ,0,<null>
1,2,42,7,8,وَ       تَکۡتُمُوا       الۡحَقَّ       وَ      اَنۡتُمۡ      تَعۡلَمُوۡنَ      ﴿۴۲﴾,0,<null>
1,2,43,7,8,      وَ      اَقِیۡمُوا     الصَّلٰوۃَ     وَ     اٰتُوا     الزَّکٰوۃَ,0,<null>
1,2,43,7,9,وَ           ارۡکَعُوۡا           مَعَ           الرّٰکِعِیۡنَ           ﴿۴۳﴾,0,<null>
1,2,44,7,9,          اَتَاۡمُرُوۡنَ         النَّاسَ         بِالۡبِرِّ         وَ         تَنۡسَوۡنَ,0,<null>
1,2,44,7,10,اَنۡفُسَکُمۡ     وَ     اَنۡتُمۡ     تَتۡلُوۡنَ     الۡکِتٰبَ ؕ    اَفَلَا    تَعۡقِلُوۡنَ    ﴿۴۴﴾,0,<null>
1,2,45,7,10,    وَ    اسۡتَعِیۡنُوۡا    بِالصَّبۡرِ,0,<null>
1,2,45,7,11,وَ       الصَّلٰوۃِ ؕ       وَ       اِنَّہَا       لَکَبِیۡرَۃٌ       اِلَّا       عَلَی       الۡخٰشِعِیۡنَ       ۙؖ﴿۴۵﴾,0,<null>
1,2,46,7,11,       الَّذِیۡنَ       یَظُنُّوۡنَ,0,<null>
1,2,46,7,12,اَنَّہُمۡ           مُّلٰقُوۡا           رَبِّہِمۡ           وَ           اَنَّہُمۡ           اِلَیۡہِ          رٰجِعُوۡنَ         ٪﴿۴۶﴾,0,<null>
1,2,47,7,12,         یٰبَنِیۡۤ         اِسۡرَآءِیۡلَ,0,<null>
1,2,47,7,13,اذۡکُرُوۡا       نِعۡمَتِیَ       الَّتِیۡۤ      اَنۡعَمۡتُ      عَلَیۡکُمۡ      وَ     اَنِّیۡ     فَضَّلۡتُکُمۡ     عَلَی     الۡعٰلَمِیۡنَ     ﴿۴۷﴾,0,<null>
1,2,48,7,14,وَ          اتَّقُوۡا          یَوۡمًا          لَّا          تَجۡزِیۡ          نَفۡسٌ          عَنۡ          نَّفۡسٍ          شَیۡئًا          وَّ          لَا         یُقۡبَلُ,0,<null>
1,2,48,7,15,مِنۡہَا         شَفَاعَۃٌ         وَّ         لَا         یُؤۡخَذُ         مِنۡہَا         عَدۡلٌ         وَّ         لَا         ہُمۡ        یُنۡصَرُوۡنَ       ﴿۴۸﴾,0,<null>
1,2,49,8,1,وَ              اِذۡ              نَجَّیۡنٰکُمۡ              مِّنۡ              اٰلِ              فِرۡعَوۡنَ              یَسُوۡمُوۡنَکُمۡ              سُوۡٓءَ             الۡعَذَابِ,0,<null>
1,2,49,8,2,یُذَبِّحُوۡنَ         اَبۡنَآءَکُمۡ         وَ         یَسۡتَحۡیُوۡنَ         نِسَآءَکُمۡ ؕ         وَ        فِیۡ        ذٰلِکُمۡ        بَلَآ        ءٌ        مِّنۡ,0,<null>
